"","GEOID","Limited_Eng_per","Poverty_per","Uninsured_per","NonHisp_asian_per","NonHisp_pi_per","NonHisp_black_per","NonHisp_white_per","Hisp_per","NonHisp_ai_per"
"1162","060374012012",3.89467910038398,6.76014021031547,1.80270405608413,5.90886329494241,1.10165247871808,0.701051577366049,49.8247371056585,36.6049073610416,0
"1163","060374016013",1.14810562571757,10.4620286776421,2.97397769516729,13.1398416886544,0,4.80211081794195,41.8469656992084,37.9947229551451,0
"1164","060374016011",5.22565320665083,1.66270783847981,0,16.0332541567696,0,0,61.0451306413302,20.3087885985748,2.61282660332542
"1165","060374021013",8.59583555792846,10.6153846153846,4.1025641025641,1.33333333333333,0,9.48717948717949,0.256410256410256,87.5384615384615,1.17948717948718
"1166","060374021012",12.0754716981132,25.7333333333333,6.66666666666667,5.66666666666667,0,6.33333333333333,2.33333333333333,85.6666666666667,0
"1167","060372095201",28.3645141822571,34.8726114649682,33.2802547770701,4.98938428874735,0,2.91932059447983,4.03397027600849,88.0573248407643,0
"1168","060372114101",25.646437994723,14.4845360824742,20.9278350515464,43.3265925176946,0,2.07280080889788,14.1557128412538,38.2709807886754,0
"1169","060372115002",23.7727272727273,10.0697471665214,7.97733217088056,48.823016564952,0,5.36181342632956,17.2188317349608,26.3295553618134,0
"1170","060372115001",14.792899408284,8.31721470019342,19.0522243713733,50.5802707930368,0,5.02901353965184,31.431334622824,11.1218568665377,0
"1171","060372124202",39.1730903994394,31.2658227848101,22.2151898734177,26.4556962025316,0,8.67088607594937,5.63291139240506,56.7721518987342,0
"1172","060372128002",9.17525773195876,12.843137254902,8.92156862745098,12.7450980392157,0,19.2156862745098,30,34.7058823529412,0
"1173","060372128001",10.1063829787234,18.1318681318681,3.21212121212121,45.030303030303,0,11.7575757575758,17.5151515151515,18.5454545454545,0.727272727272727
"1174","060376702021",3.31045619701252,1.98019801980198,3.7163443306788,20.2502844141069,0,0.948047023132347,55.8589306029579,18.2404247250664,0
"1175","060379200171",3.98050365556458,5.61708860759494,3.63924050632911,5.14240506329114,0,0.55379746835443,62.1044303797468,25.7911392405063,0
"1176","060375437011",12.4098124098124,5.21628498727735,5.47073791348601,38.9312977099237,6.10687022900763,0,1.97201017811705,52.4809160305344,0
"1177","060375437023",12.4523506988564,8.39598997493734,7.64411027568922,18.671679197995,0,15.6641604010025,9.77443609022556,52.0050125313283,0
"1178","060375437022",17.4506828528073,20.7236842105263,12.2441520467836,21.2719298245614,0,10.7456140350877,3.83771929824561,63.7426900584795,0
"1179","060375438012",9.8122866894198,0,5.08601346297681,47.0456245325355,0,0,8.37696335078534,43.904263275991,0
"1180","060375438011",8.54762767113365,6.85675492192804,10.4209097080787,32.0569298542867,0,10.7421213148085,12.09759403592,39.4103693663165,1.93154862758387
"1181","060375438013",7.55885997521685,5.2812858783008,3.4443168771527,30.654420206659,0,23.5361653272101,18.8289322617681,23.9954075774971,0
"1182","060375513001",18.9404594467886,9.79241877256318,14.4404332129964,7.08483754512635,0,0.496389891696751,9.11552346570397,83.3032490974729,0
"1183","060372212102",31.8768619662363,23.81861575179,19.3794749403341,10.6921241050119,0,8.54415274463007,4.77326968973747,74.5584725536993,0
"1184","060374633001",12.2222222222222,11.7543859649123,1.92982456140351,22.9824561403509,0,7.63157894736842,39.0350877192982,28.3333333333333,0
"1185","060374633002",5.49738219895288,2.40963855421687,1.08433734939759,31.0843373493976,0,0.72289156626506,56.6265060240964,9.75903614457831,0
"1186","060374308023",22.2826086956522,13.7228260869565,1.35869565217391,84.5108695652174,0,0,5.97826086956522,1.6304347826087,4.21195652173913
"1187","060374308021",16.4723032069971,8,0,71,0,0,24.1428571428571,4.85714285714286,0
"1188","060374308024",7.5098814229249,6.4176245210728,3.16091954022989,84.6743295019157,0,0,10.5363984674329,2.4904214559387,0
"1189","060374308022",15.8259149357072,29.9620132953466,1.37701804368471,66.951566951567,0,0.712250712250712,13.1528964862298,18.6609686609687,0
"1190","060374319001",15.7538877620014,27.2613849033063,3.43106674984404,64.316905801622,2.49532127261385,6.86213349968808,15.7829070492826,9.35745477230193,0
"1191","060374319003",16.5436654366544,5.77596266044341,5.07584597432905,63.4772462077013,0,0.466744457409568,19.0781796966161,15.7526254375729,0
"1192","060374319002",22.2437137330754,19.5752539242844,6.92520775623269,37.3961218836565,0,0,19.8522622345337,39.8891966759003,0
"1193","060374607005",5.00667556742323,0.514469453376206,1.41479099678457,18.6495176848875,0,5.78778135048232,64.6945337620579,4.82315112540193,0
"1194","060374607002",7.27580372250423,1.3136288998358,0,39.7372742200328,0,1.47783251231527,46.3054187192118,7.88177339901478,0
"1195","060374607003",0,0,0,13.2432432432432,0,2.2972972972973,79.8648648648649,1.62162162162162,0
"1196","060374607001",6.91699604743083,11.1645813282002,14.5332050048123,28.4889316650626,0,0.481231953801732,33.878729547642,36.7661212704524,0
"1197","060374607004",0,1.75585284280936,0,33.6120401337793,0,1.67224080267559,50.8361204013378,8.19397993311037,0
"1198","060374621001",16.7778836987607,7.66456266907124,6.13165013525699,15.1487826871055,0,6.85302073940487,23.985572587917,51.668169522092,0
"1199","060374621002",19.9576868829337,27.5928297055058,15.9090909090909,7.42637644046095,0,5.18565941101152,10.2112676056338,76.4724711907811,0
"1200","060374624001",3.00970873786408,14.2034548944338,0.562851782363977,5.49860205032619,3.54147250698975,5.03261882572227,63.932898415657,14.9114631873253,3.07548928238583
"1201","060375730022",17.0038272279934,33.4009123162696,17.181956411556,5.67663456664977,0,7.45058286872783,5.98073998986315,79.067410035479,0
"1202","060375742021",0.802752293577982,10.0534759358289,1.0593220338983,5.40254237288136,0.317796610169492,4.23728813559322,50.9533898305085,33.6864406779661,0
"1203","060375750011",3.78086419753086,4.76545048399106,1.71258376768429,24.1250930752048,0,7.5204765450484,48.1757259865972,17.4236783320923,0
"1204","060375758011",23.0703986429177,27.13529856387,26.1363636363636,0.226757369614512,0,12.0937263794407,9.67498110355253,78.0045351473923,0
"1205","060375774003",3.48993288590604,15.802781289507,5.56257901390645,0.632111251580278,0,0.632111251580278,74.7155499367889,22.3767383059418,0
"1206","060375774002",0,4.0983606557377,1.63934426229508,5.73770491803279,0,0,81.3114754098361,12.9508196721311,0
"1207","060375774004",0,9.67391304347826,5.76086956521739,3.26086956521739,0,2.60869565217391,73.4782608695652,18.1521739130435,0
