"","GEOID","Pop_total","Limited_Eng_per","Poverty_per","Uninsured_per","NonHisp_asian_per","NonHisp_pi_per","NonHisp_black_per","NonHisp_white_per","Hisp_per","NonHisp_ai_per"
"1","06037101110",4283,19.2,13.8269829858615,10.8,7.72822787765585,0.070044361428905,0.443614289049732,61.0786831660051,27.7375671258464,0.070044361428905
"2","06037101122",3405,10.219416892095,3.84729209825392,6,6.46108663729809,0,2.17327459618209,84.640234948605,4.31718061674009,0.440528634361234
"3","06037101210",6347,35.4599156118143,26.4422317053896,10.4,7.65716086340003,0,3.11958405545927,47.0458484323302,41.2163226721286,0
"4","06037101220",3702,31.0606060606061,15.8022690437601,9.3,9.21123716909779,0,2.35008103727715,48.9465153970827,36.8449486763911,0
"5","06037101300",3884,19.0250329380764,5.70461057567075,5.5,4.99485066941298,0,5.27806385169928,80.4840370751802,7.64675592173018,0
"6","06037101400",3458,17.1729323308271,7.74361948955916,2.6,11.8276460381724,0,0.260266049739734,65.6737998843262,17.0908039329092,0.37593984962406
"7","06037102103",1763,11.9447779111645,4.82132728304027,4.7,12.7056154282473,0,1.41803743618832,62.7339761769711,20.1361315938741,0
"8","06037102104",3721,26.4059377676277,12.1420389461627,4.7,9.43294813222252,0.214995968825584,1.96183821553346,69.0137059930126,13.7597420048374,0
"9","06037102105",1905,15.7158234660926,18.6876640419948,6.6,6.50918635170604,0.20997375328084,0.73490813648294,22.4146981627297,67.3490813648294,1.25984251968504
"10","06037102107",4349,7.90947270181988,10.108644307983,1.7,9.15152908714647,0,1.58657162566107,59.8988273166245,27.4775810531157,0.137962750057484
"11","06037103101",2428,18.9861751152074,4.73640856672158,3,6.75453047775947,0,0.741350906095552,73.8467874794069,16.3097199341021,0
"12","06037103102",4734,28.7206266318538,5.74566962399662,8.4,12.2306717363752,0,0,55.9991550485847,27.9256442754542,0
"13","06037103200",6349,13.0053908355795,15.0473743375622,4.9,6.88297369664514,0,1.65380374862183,60.875728461175,27.5791463222555,0
"14","06037103300",3781,2.56693348054099,5.44829410208939,2.5,7.16741602750595,0,0.0264480296217932,76.6199418143348,10.6585559375827,1.19016133298069
"15","06037103400",6416,17.6669893514037,8.38304552590267,4.6,16.1627182044888,0,2.4002493765586,54.1147132169576,24.5168329177057,0
"16","06037104103",3431,25.0839182178822,5.34967124925284,5.1,5.80005829204314,0,12.5619352958321,11.0463421742932,69.9795977849024,0
"17","06037104105",6054,32.4357405140759,22.2993062438057,8.4,11.3148331681533,0,4.59200528576148,5.69871159563925,74.0336967294351,0.51205814337628
"18","06037104108",6001,28.1987133666905,15.7140476587235,7.6,3.38276953841026,0.216630561573071,7.16547242126312,5.44909181803033,83.0194967505416,0
"19","06037104124",3875,22.0980223559759,8.83886906395828,7.9,8.33548387096774,0,12.6709677419355,31.5870967741935,44.5935483870968,0.567741935483871
"20","06037104201",4569,37.6718824087245,21.6024789729969,12.8,0,0,8.77653753556577,1.2256511271613,89.3193258918801,0.678485445392865
"21","06037104203",5441,39.9922869263401,25.6528986849417,17,1.24977026281933,0,8.19702260613858,1.50707590516449,88.5315199411873,0
"22","06037104204",3679,32.1674311926606,14.7139798103396,10.3,6.68659961946181,0,3.77820059798858,9.75808643653167,78.0103288937211,0
"23","06037104310",4962,38.2751722605023,13.3265925176946,14.6,0.362756952841596,0,1.93470374848851,1.37041515517936,95.6066102378073,0.161225312374043
"24","06037104320",5292,45.8291658331666,15.0604686318972,11.9,1.09599395313681,0,4.61073318216175,2.62660619803477,89.1534391534392,0.0377928949357521
"25","06037104401",3270,40.8900354724283,24.0331491712707,14.5,1.10091743119266,0,0.428134556574924,1.98776758409786,96.4831804281345,0
"26","06037104403",3341,39.0391345847916,13.6569189026229,15.4,4.04070637533673,0,0,0.448967375037414,95.5103262496259,0
"27","06037104404",3084,38.0430943129636,25.1063829787234,14.5,2.17250324254215,0,2.01037613488975,2.59403372243839,92.9636835278859,0
"28","06037104500",3025,41.8279569892473,24.4701986754967,12.9,0,0,0.0330578512396694,0.826446280991736,98.8760330578512,0.132231404958678
"29","06037104610",3386,41.5501905972046,13.377324535093,14.1,0,0,0,1.9492025989368,97.1943295924395,0.413467217956291
"30","06037104620",3528,40.8695652173913,10.8444187391556,11.5,0,0,0,1.75736961451247,98.2426303854875,0
"31","06037104701",4402,39.850710329882,32.6042378673958,8.9,0.340754202635166,0.590640617900954,3.29395729213994,1.31758291685597,94.457064970468,0
"32","06037104703",2174,36.7191467750127,32.2447102115915,14.8,0,0,7.95768169273229,5.97976080956762,85.3725850965961,0.689972401103956
"33","06037104704",4321,27.7042218336248,28.6255027206056,9.6,2.05970840083314,0,12.8442490164314,6.3642675306642,78.1532052765563,0
"34","06037104810",5631,46.168294515402,12.3194865394901,16.3,0.834665245959865,0,0.213106020245072,3.33866098383946,95.2051145444859,0.408453205469721
"35","06037104821",3551,30.5662614882894,17.4964438122333,16.9,3.3511686848775,0,2.42185299915517,4.64657842861166,89.2706279921149,0
"36","06037104822",2839,42.4848942598187,19.9010250972075,16.2,5.00176118351532,0,1.23282846072561,2.39520958083832,90.6305036984854,0
"37","06037106010",3093,16.3371488033299,10.1068999028183,6.6,3.81506627869382,0,4.00905269964436,17.7820885871322,72.0012932428063,0
"38","06037106020",5420,24.7083572384777,9.43396226415094,14.6,1.309963099631,0,0.996309963099631,19.4833948339483,77.2509225092251,0
"39","06037106111",4191,11.890243902439,4.89143402529229,6.7,10.0691958959675,0,4.41422094965402,27.1057026962539,56.7406346933906,0.5249343832021
"40","06037106112",5611,15.7466918714556,12.1740727139185,4.2,7.69916235965069,0.338620566743896,2.81589734450187,18.3567991445375,69.4172161824987,0
"41","06037106113",3697,21.3476783691959,7.97222222222222,9.9,8.35812821206384,0,3.78685420611306,15.4449553692183,71.6797403299973,0.73032188260752
"42","06037106114",6324,27.7797264117853,17.92,9,4.50664136622391,0,3.28905755850727,3.58950031625553,88.2827324478178,0
"43","06037106403",3667,31.0113669484115,4.66335540838852,9.5,0.190891737114808,0,1.69075538587401,7.63566948459231,90.4826833924189,0
"44","06037106405",4758,27.7609858172518,28.4717818642993,8.7,1.36612021857923,0,6.47330811265237,16.9819251786465,74.4010088272383,0
"45","06037106406",5839,25.4741539605801,5.45829042224511,7,7.15876006165439,0,1.02757321459154,21.2022606610721,68.744648056174,0
"46","06037106407",3119,26.6145479265806,32.2536181943487,11.3,4.26418723949984,0,15.7742866303302,12.4398845783905,66.4636101314524,0
"47","06037106408",3667,31.297248261264,19.3891464412326,14.5,3.24515953095173,0,2.50886283065176,4.06326697572948,89.8554676847559,0
"48","06037106510",5618,17.3413669742045,8.27878321139777,7.7,7.79636881452474,0,4.78818084727661,13.8483446066216,72.5703097187611,0
"49","06037106520",5920,30.457399103139,15.3650686091818,16.3,2.12837837837838,0,0.27027027027027,8.47972972972973,88.9189189189189,0
"50","06037106603",3156,15.5921052631579,3.66358712965913,3.2,23.1622306717364,1.1723700887199,2.21799746514575,52.6932826362484,17.3637515842839,0
"51","06037106604",5068,34.6246973365617,13.8756927949327,9.5,2.1310181531176,0.0197316495659037,1.0852407261247,4.93291239147593,91.2194159431728,0
"52","06037106641",2372,10.5095541401274,3.07757166947723,5.8,19.1821247892074,0,0.252951096121417,66.8634064080944,8.38954468802698,0
"53","06037106642",2961,14.140350877193,4.50236966824645,4.4,11.4150624788923,0,5.74130361364404,53.1577169875042,23.4042553191489,0
"54","06037106643",4577,12.6599634369287,1.63862792221979,1.4,21.3677081057461,0,1.79156652829364,61.0880489403539,13.5022940790911,0.436967445925279
"55","06037106645",3650,13.1757754800591,2.84931506849315,5.9,18.0547945205479,0,1.53424657534247,61.5068493150685,17.0958904109589,0.383561643835616
"56","06037106646",3161,12.6386554621849,6.70572916666667,4.3,18.190446061373,0.506168933881683,4.96678266371401,44.3214172730149,28.4403669724771,0.126542233470421
"57","06037106648",4546,35.7756563245823,20.1812555260831,9.4,0.131984161900572,0,0.263968323801144,2.81566212054553,96.6564012318522,0
"58","06037106649",2661,23.1325301204819,9.12518853695324,7.2,18.8275084554679,0.187899285982713,2.63059000375799,8.30514844043593,66.3660278090943,0.263059000375799
"59","06037107010",3141,33.6838534599729,10,8.4,0.636739891754218,0,0.445717924227953,2.80165552371856,95.4154727793696,0.254695956701687
"60","06037107020",5317,27.4832419256551,4.25051720895242,7.1,7.861576076735,0,0.338536768854617,4.08124882452511,87.4177167575701,0
"61","06037108101",2327,20.9553853086976,8.76665234207134,3.8,22.04555221315,0,3.5668242372153,57.0691877954448,13.8805328749463,0
"62","06037108102",3552,19.9472759226714,9.45259593679458,2.2,31.2218468468468,0,3.65990990990991,54.3918918918919,9.06531531531532,0
"63","06037108103",3099,19.0198766278273,3.61406905453372,0.9,26.5892223297838,0.645369474023879,0,57.728299451436,11.487576637625,0.322684737011939
"64","06037108104",1836,14.6696528555431,1.63398692810458,3.5,35.0762527233115,0,5.22875816993464,50.6535947712418,7.40740740740741,0
"65","06037108201",5460,18.0600726994452,1.24542124542125,4.5,46.5934065934066,0,6.53846153846154,36.6483516483516,5.6043956043956,0
"66","06037108202",7487,24.0282176792398,2.48430613062642,3.2,47.6292239882463,0,7.85361292907707,33.1507947108321,6.74502470949646,0.454120475490851
"67","06037109100",2797,22.8023032629559,4.74708171206226,3.9,11.7983553807651,0,0.286020736503396,24.3475151948516,63.3178405434394,0.250268144440472
"68","06037109200",2846,10.7986501687289,2.00281096275474,3,25.0527055516514,0,1.26493323963457,34.0477863668306,38.0182712579058,0
"69","06037109300",2962,19.9224259520451,6.45161290322581,6.7,16.9817690749494,0,0.87778528021607,35.5840648210668,43.7879810938555,0
"70","06037109400",3903,25.41567695962,8.39322381930185,6.2,3.25390725083269,6.4821931847297,0.845503458877786,13.8098898283372,74.2505764796311,0
"71","06037109500",4832,32.5005576622797,28.1595989137247,5.2,2.29718543046358,0,1.34519867549669,3.60099337748344,92.7566225165563,0
"72","06037109601",4945,23.7218370883882,4.83316481294237,10.3,10.6167846309403,0,1.01112234580384,15.8543983822042,69.8281092012134,0
"73","06037109603",4297,31.4699276266534,19.5950663253433,11.8,14.475215266465,0,0.930882010705143,11.6360251338143,70.7935769141261,0
"74","06037109604",3195,20.9720372836218,6.88575899843505,7.9,11.924882629108,0,0.845070422535211,16.6197183098592,68.7949921752739,0.876369327073552
