"GEOID","Pop_total","Limited_Eng","B16004_001E","Poverty","B17021_001E","Uninsured","B27010_001E","NonHisp_asian","NonHisp_pi","NonHisp_black","NonHisp_white","Hisp","NonHisp_ai","Male","Female","Age_5under","Age_5to14","Age_15to17","Age_18to20","Age_21to64","Age_65above","vac_per"
"060372652012",393,6,377,58,178,11,393,101,0,30,154,78,0,123,270,16,4,2,129,208,34,54.2
"060372345022",832,68,832,95,832,20,832,6,0,646,0,180,0,430,402,0,20,22,121,539,130,54
"060372199011",1297,257,1249,404,1297,273,1297,9,0,181,68,1021,0,734,563,48,134,38,15,928,134,55.3
"060371344222",3440,87,3309,152,3440,257,3440,699,0,71,1962,579,0,1632,1808,131,478,78,77,2060,616,70.4
"060371417003",704,0,648,0,704,0,704,82,0,0,492,109,0,392,312,56,61,43,27,403,114,71.5
"060375711014",1327,0,1265,15,1327,0,1327,151,0,22,608,538,0,591,736,62,131,56,77,829,172,64.6
"060375711011",472,0,430,41,472,10,472,36,0,0,327,62,0,238,234,42,30,0,7,245,148,64.6
"060375711024",601,0,539,20,601,0,601,15,0,124,169,286,0,270,331,62,7,12,46,418,56,64.6
"060375715023",2137,34,2005,102,2116,108,2137,497,0,454,559,522,0,1011,1126,132,309,87,39,1246,324,61.3
"060375715024",902,178,847,200,902,107,902,37,0,107,112,637,0,453,449,55,84,12,76,525,150,61.3
"060377010003",817,0,817,90,817,21,817,68,0,0,696,27,26,393,424,0,132,45,0,432,208,73.2
"060377029014",1228,0,1145,120,1228,0,1228,266,0,24,893,0,0,608,620,83,0,0,0,787,358,81.1
"060377029013",3727,146,3478,1181,3681,25,3727,397,0,429,1994,722,0,2002,1725,249,99,102,395,2560,322,81.1
"060379011023",1682,42,1473,140,1669,82,1682,54,0,62,967,534,35,872,810,209,101,34,8,1102,228,42
"060375326051",637,50,577,166,637,115,637,0,0,6,22,609,0,280,357,60,104,35,11,427,0,55.2
"060375355021",2367,788,2269,359,2300,541,2300,0,0,20,82,2265,0,1273,1094,98,272,58,161,1567,211,60.1
"060375438024",2001,209,1905,192,2001,33,2001,1004,0,264,102,571,0,942,1059,96,160,72,27,1183,463,67.1
"060374038021",1903,123,1801,90,1887,135,1903,171,0,71,376,1185,10,866,1037,102,269,62,43,1197,230,66.3
"060375746021",1291,50,1255,113,1291,26,1291,183,0,19,778,249,0,632,659,36,105,57,65,570,458,61.3
"060372677002",1636,48,1538,173,1636,58,1636,528,0,0,784,195,0,931,705,98,47,11,25,1206,249,72.7
"060372702001",846,107,755,106,846,109,846,73,0,110,189,420,0,394,452,91,45,21,0,487,202,69.4
"060372721001",1058,0,959,125,1058,42,1058,170,0,0,715,86,0,619,439,99,77,5,21,606,250,72.4
"060376203013",1185,10,1136,11,1174,30,1185,89,0,0,924,105,0,611,574,49,234,83,47,541,231,78.2
"060376203014",1165,0,1089,29,1165,31,1165,35,0,16,1000,35,47,524,641,76,221,127,0,604,137,78.2
"060376207012",1652,0,1493,79,1634,44,1652,58,0,41,1223,245,0,820,832,159,191,42,36,932,292,75.2
"060376211022",1955,23,1838,144,1955,37,1955,124,0,18,1384,235,22,913,1042,117,298,44,33,1270,193,75.2
"060376213013",1451,19,1323,10,1449,2,1451,162,0,4,1134,107,0,783,668,128,269,75,18,758,203,75.2
"060376502003",1593,44,1488,71,1593,66,1593,342,9,52,528,555,0,866,727,105,224,60,65,759,380,72.9
"060371438004",789,0,769,17,789,0,789,89,0,139,551,10,0,401,388,20,151,16,0,521,81,74.8
"060375012001",2454,96,2352,152,2454,103,2454,229,0,12,571,1533,16,1102,1352,102,382,87,76,1287,520,62
"060375022001",3080,424,2865,423,3080,512,3080,9,0,10,188,2856,0,1441,1639,215,284,159,163,1768,491,62.4
"060371287023",2127,71,2039,158,1964,128,1993,312,0,143,1027,462,0,1004,1123,88,226,43,59,1345,366,71.5
