"GEOID","B16004_001E","B16004_001M","B16004_007E","B16004_007M","B16004_008E","B16004_008M","B16004_012E","B16004_012M","B16004_013E","B16004_013M","B16004_017E","B16004_017M","B16004_018E","B16004_018M","B16004_022E","B16004_022M","B16004_023E","B16004_023M","B16004_029E","B16004_029M","B16004_030E","B16004_030M","B16004_034E","B16004_034M","B16004_035E","B16004_035M","B16004_039E","B16004_039M","B16004_040E","B16004_040M","B16004_044E","B16004_044M","B16004_045E","B16004_045M","B16004_051E","B16004_051M","B16004_052E","B16004_052M","B16004_056E","B16004_056M","B16004_057E","B16004_057M","B16004_061E","B16004_061M","B16004_062E","B16004_062M","B16004_066E","B16004_066M","B16004_067E","B16004_067M","B17021_001E","B17021_001M","B17021_002E","B17021_002M","B27010_001E","B27010_001M","B27010_017E","B27010_017M","B27010_033E","B27010_033M","B27010_050E","B27010_050M","B27010_066E","B27010_066M","B03002_001E","B03002_001M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_004E","B03002_004M","B03002_003E","B03002_003M","B03002_012E","B03002_012M","B03002_005E","B03002_005M"
"060371203002",1174,434,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,72,85,0,12,19,31,0,12,0,12,0,12,0,12,0,12,22,35,0,12,0,12,23,40,0,12,0,12,0,12,0,12,1236,484,22,27,1236,484,0,12,116,136,153,163,0,12,1236,484,297,202,0,12,13,20,139,144,764,535,0,12
"060376035002",1042,218,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,11,9,13,0,12,0,12,22,19,5,8,0,12,0,12,0,12,11,13,0,12,0,12,11,11,5,8,0,12,19,26,1093,223,14,21,1101,224,34,46,33,29,63,55,6,10,1101,224,277,109,9,14,228,136,120,52,433,184,0,12
"060376037043",1996,553,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,145,123,534,477,0,12,0,12,39,63,0,12,0,12,0,12,40,62,11,33,0,12,0,12,0,12,0,12,0,12,0,12,2467,709,734,561,2467,709,32,50,471,407,387,208,40,62,2467,709,56,69,0,12,270,167,78,156,1938,750,0,12
"060376039005",1017,587,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,76,82,60,94,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1137,660,3,5,1137,660,28,47,93,109,24,40,0,12,1150,659,0,12,0,12,127,194,122,117,901,621,0,12
"060376039002",730,285,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,28,48,0,12,0,12,0,12,0,12,0,12,0,12,0,12,20,37,0,12,0,12,0,12,0,12,0,12,0,12,0,12,749,298,82,109,749,298,0,12,0,12,0,12,0,12,749,298,0,12,0,12,89,86,195,236,411,286,0,12
"060376209012",612,114,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,8,0,12,0,12,0,12,672,143,11,12,672,143,0,12,0,12,5,8,5,8,672,143,134,105,0,12,14,20,467,138,48,42,0,12
"060372041201",1369,349,6,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12,91,86,65,75,0,12,0,12,0,12,0,12,0,12,0,12,58,32,40,34,0,12,0,12,10,13,8,12,0,12,0,12,1419,363,170,118,1419,363,9,15,77,68,59,54,0,12,1419,363,25,33,0,12,0,12,68,54,1318,362,0,12
"060372049101",3111,255,0,12,10,17,0,12,0,12,0,12,0,12,0,12,0,12,270,94,423,156,10,17,0,12,0,12,0,12,0,12,0,12,97,49,217,86,0,12,0,12,0,12,0,12,0,12,0,12,3341,284,718,226,3341,284,12,20,264,110,266,84,0,12,3341,284,8,9,0,12,29,30,83,50,3213,288,0,12
"060374310022",1472,266,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1,2,13,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,12,0,12,1538,287,2,4,1558,293,0,12,10,15,0,12,0,12,1558,293,64,60,245,191,36,43,768,232,404,209,0,12
"060374013042",76,67,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,76,67,36,63,76,67,0,12,0,12,0,12,0,12,76,67,0,12,0,12,0,12,76,67,0,12,0,12
