"GEOID","sd_2021","sd_2021_area"
"060371011101","5",1.00000000000175
"060371011102","5",1.00000000000034
"060371011103","5",1.00000000000058
"060371011221","5",0.999999999999567
"060371011222","5",0.999999999999471
"060371012101","5",0.999999999960034
"060371012102","5",1.00000000000262
"060371012201","5",1.00000000000344
"060371012202","5",1.00000000000348
"060371013001","5",0.999999999961519
"060371013002","5",1.00000000001477
"060371013003","5",1.00000000000403
"060371013004","5",0.99999999999999
"060371014001","5",1.00000000000559
"060371014002","5",0.999999999999804
"060371014003","5",1.00000000000149
"060371021031","5",0.99999999999968
"060371021041","5",1.00000000000352
"060371021042","5",0.999999999995765
"060371021051","5",1.00000000000021
"060371021052","5",1.00000000000085
"060371021071","5",1.0000000000012
"060371021072","5",1.00000000000265
"060371031011","5",0.999999999998623
"060371031012","5",0.999999999999135
"060371031021","5",0.99999999997687
"060371031022","5",0.999999999998026
"060371031023","5",0.99999999999803
"060371031024","5",1.00000000000211
"060371031025","5",1.00000000000176
"060371032001","5",0.999999999996851
"060371032002","5",0.999999999994543
"060371032003","5",0.999999999999651
"060371033001","5",0.999999999999803
"060371033002","5",0.999999999996407
"060371034001","5",1.00000000000196
"060371034002","5",1.0000000000003
"060371034003","5",0.999999999997553
"060371034004","5",0.999999999999795
"060371034005","5",0.999999999984679
"060371041031","5",0.999816668402609
"060371041032","5",1.00000000000122
"060371041051","3",0.998974956218211
"060371041052","3",0.999999999995692
"060371041081","3",0.979764409306588
"060371041082","5",0.998248962225312
"060371041083","3",1.00000000000075
"060371041241","5",0.999999999998991
"060371041242","5",0.999999999997298
"060371041243","5",0.999999999999254
"060371042011","3",1
"060371042012","3",1
"060371042013","3",1
"060371042031","3",1.00000000000108
"060371042032","3",1.00000000000027
"060371042041","3",0.999999999999812
"060371042042","5",0.999813343766938
"060371043101","3",1
"060371043102","3",0.999999999999837
"060371043103","3",0.99999999999882
"060371043201","3",1.00000000003804
"060371043202","3",1.00000000115286
"060371043203","3",1.00000000000196
"060371043204","3",1.00000000440796
"060371044011","3",1.00000000000057
"060371044012","3",0.99999999999927
"060371044031","3",0.999999999912991
"060371044032","3",1.00000000000146
"060371044041","3",1.00000000000031
"060371044042","3",1.00000000000004
"060371045001","3",0.999999999996074
"060371045002","3",1.00000000000046
"060371046101","3",1.00000000074953
"060371046102","3",1.00000000000407
"060371046201","3",1
"060371046202","3",0.999999998767069
"060371047011","3",1.00000000023659
"060371047012","3",0.999999999506841
"060371047013","3",1.00000000164602
"060371047031","3",0.99942914499933
"060371047032","3",1.00000000000825
"060371047041","3",0.999999999826325
"060371048101","3",1.00000000000351
"060371048102","3",1.00000000000157
"060371048103","3",1.00000000000107
"060371048211","3",1.00000000000221
"060371048212","3",1
"060371048221","3",0.999999999974921
"060371060101","3",0.997989704922592
