"GEOID","Pop_total","Limited_Eng_per","Poverty_per","Uninsured_per","NonHisp_asian_per","NonHisp_pi_per","NonHisp_black_per","NonHisp_white_per","Hisp_per","NonHisp_ai_per","Male_per","Female_per","Age_5under_per","Age_5to14_per","Age_15to17_per","Age_18to20_per","Age_21to64_per","Age_65above_per"
"060374307011",924,22.4444444444444,20.5627705627706,2.48917748917749,68.1818181818182,0,0,20.6709956709957,11.1471861471861,0,46.6450216450216,53.3549783549784,2.5974025974026,11.7965367965368,5.3030303030303,1.19047619047619,57.3593073593074,21.7532467532468
"060374317004",1361,7.36761320030698,18.2218956649522,11.4621601763409,49.8163115356356,0,0,22.4099926524614,27.773695811903,0,51.8736223365173,48.1263776634827,4.26157237325496,24.6142542248347,1.39603232916973,0,46.8038207200588,22.9243203526818
"060374327002",1126,19.4698354661792,32.0603907637655,5.15097690941385,15.6305506216696,0,0,1.06571936056838,83.303730017762,0,41.651865008881,58.348134991119,2.84191829484902,11.9005328596803,11.9005328596803,4.4404973357016,55.7726465364121,13.1438721136767
"060374327001",3177,25.7788428620336,17.8289681287472,9.41139439723009,7.77463015423355,0,0,1.44790683034309,90.7774630154234,0,49.606547056972,50.393452943028,8.05791627321372,18.1303116147309,5.1306263770853,7.14510544538873,48.5048788164935,13.0311614730878
"060374339023",1021,36.3440860215054,30.0685602350637,15.181194906954,16.9441723800196,0,0,3.52595494613124,79.5298726738492,0,46.3271302644466,53.6728697355534,8.9128305582762,14.0058765915769,2.05680705190989,0.29382957884427,53.7708129285015,20.9598432908913
"060374603012",1333,0.256410256410256,4.12603150787697,1.57539384846212,12.2280570142536,0,61.8904726181545,21.3803450862716,4.50112528132033,0,48.5371342835709,51.4628657164291,12.2280570142536,21.5303825956489,6.90172543135784,0.750187546886722,50.562640660165,8.02700675168792
"060374322011",1567,18.5998627316404,7.6346284935242,6.77290836653386,65.0287172941927,0.319081046585833,0.638162093171666,10.9763880025526,23.0376515634971,0,48.9470325462667,51.0529674537332,7.01978302488832,13.5928525845565,2.99936183790683,0.829610721123165,53.4779834077856,22.0804084237396
"060374334033",1518,42.9075511644319,29.5669824086604,23.7812911725955,13.4387351778656,1.71277997364954,0,1.84453227931489,83.00395256917,0,50.197628458498,49.802371541502,6.65349143610013,24.1106719367589,0.988142292490119,6.19235836627141,56.8511198945982,5.20421607378129
"060374337003",960,24.4034707158351,16.875,8.54166666666667,5.9375,0,0,1.66666666666667,92.3958333333333,0,45.4166666666667,54.5833333333333,3.95833333333333,11.3541666666667,3.33333333333333,2.91666666666667,59.8958333333333,18.5416666666667
"060371345202",2351,34.8729792147806,20.8847299021693,29.3917481922586,3.7430880476393,0,1.06337728626117,8.12420246703531,85.3253934495959,0,63.2071458953637,36.7928541046363,7.91152700978307,12.2075712462782,6.33772862611655,5.95491280306253,60.4423649510846,7.14589536367503
"060374338014",1742,30.5203045685279,24.3972445464983,19.2307692307692,6.94603903559127,0,0.631458094144661,0,92.4225028702641,0,51.7221584385764,48.2778415614236,9.5292766934558,16.5901262916188,0.574052812858783,6.14236509758898,61.5384615384615,5.62571756601607
"060371994003",1943,27.0544290288154,15.5163466528282,17.3443129181678,14.5136387030365,0,7.66855378281009,4.2717447246526,71.7447246525991,0,44.8275862068966,55.1724137931034,3.55120946989192,10.2933607822954,7.46268656716418,10.1904271744725,58.9294904786413,9.57282552753474
"060375024013",2688,11.0262934690416,12.7990884922142,7.36607142857143,0,0,0,9.22619047619048,90.7738095238095,0,35.15625,64.84375,12.2767857142857,12.7232142857143,0.78125,2.86458333333333,60.9375,10.4166666666667
"060374012021",1507,1.03163686382393,10.9489051094891,7.36562707365627,19.3098871930989,0,0,45.056403450564,31.320504313205,0,48.1751824817518,51.8248175182482,3.51692103516921,18.7790311877903,8.95819508958195,5.83941605839416,51.0285335102853,11.877903118779
"060374013111",1790,1.59118727050184,8.32402234636871,0.949720670391061,22.6256983240223,0,0.0558659217877095,42.8491620111732,30.6703910614525,0,45.195530726257,54.804469273743,8.71508379888268,14.5810055865922,4.74860335195531,0,50.2234636871508,21.731843575419
"060372126202",2287,32.0963855421687,22.2999562745955,20.4634892872759,50.15303891561,0,1.44293834717971,7.43331875819851,34.761696545693,0,52.9077393965894,47.0922606034106,9.26978574551815,6.42763445561872,2.14254481853957,2.75470048097945,70.3104503716659,9.09488412767818
"060372133202",1163,34.5083487940631,17.9707652622528,15.3912295786758,21.2381771281169,0.429922613929493,2.66552020636285,2.83748925193465,72.8288907996561,0,46.4316423043852,53.5683576956148,7.30868443680138,8.77042132416165,0,0,69.0455717970765,14.8753224419604
"060372147003",864,0,4.16666666666667,6.94444444444444,6.01851851851852,0,12.8472222222222,69.5601851851852,6.25,0,49.8842592592593,50.1157407407407,7.17592592592593,12.037037037037,0,2.66203703703704,60.1851851851852,17.9398148148148
"060372168001",710,0,2.11267605633803,3.66197183098592,2.3943661971831,1.40845070422535,4.7887323943662,65.774647887324,20.1408450704225,0,51.6901408450704,48.3098591549296,11.2676056338028,7.74647887323944,1.26760563380282,1.26760563380282,58.7323943661972,19.7183098591549
"060372172001",923,11.9311193111931,19.8266522210184,7.04225352112676,2.92524377031419,0,20.2600216684724,44.5287107258938,29.035752979415,0,47.237269772481,52.762730227519,11.9176598049837,10.5092091007584,3.14192849404117,1.40845070422535,59.9133261105092,13.1094257854821
"060372218102",1416,7.65379113018598,64.2960812772134,12.9237288135593,40.5367231638418,0,3.17796610169492,24.1525423728814,27.9661016949153,0,61.0169491525424,38.9830508474576,1.27118644067797,2.75423728813559,0.706214689265537,14.1949152542373,76.4124293785311,4.66101694915254
"060374033192",2011,15.4591836734694,6.16608652411735,8.45350571854799,58.0805569368473,0,1.49179512680259,6.76280457483839,30.3331675783192,0,48.5827946295375,51.4172053704625,2.5360517155644,6.41471904525112,4.12729985082049,3.38140228741919,68.1253107906514,15.4152163102934
"060374034081",1126,3.62453531598513,4.61811722912966,4.35168738898757,61.4564831261101,0,0.355239786856128,5.06216696269982,30.639431616341,0,47.5133214920071,52.4866785079929,4.4404973357016,6.83836589698046,3.10834813499112,1.33214920071048,58.5257548845471,25.7548845470693
